"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.17306700167253,0.968,0.065,0,"12","CDC20"
0,5.15768247935518,0.711,0.03,0,"12","PIF1"
0,5.13640291216331,0.916,0.046,0,"12","PLK1"
0,5.10627762122901,0.832,0.041,0,"12","HMMR"
0,4.98452292576937,0.947,0.065,0,"12","CENPE"
0,4.92078544966898,0.942,0.06,0,"12","ASPM"
0,4.88130851455385,0.805,0.044,0,"12","CDCA8"
0,4.8491528049775,0.868,0.048,0,"12","CENPA"
4.88725736697269e-308,4.77314605648634,0.984,0.125,1.88677457909348e-303,"12","TOP2A"
0,4.76047956066915,0.884,0.053,0,"12","CDCA3"
0,4.73789245524428,0.368,0.012,0,"12","ENSG00000289357"
7.57262299430985e-274,4.72933046011189,0.989,0.154,2.92348683318326e-269,"12","CENPF"
1.10686209757061e-297,4.70933571769614,0.468,0.022,4.27315181388109e-293,"12","KIF18A"
0,4.70109713247538,0.621,0.032,0,"12","TTK"
0,4.68183315234041,0.968,0.095,0,"12","PIMREG"
0,4.67690485402531,0.611,0.035,0,"12","BUB1"
1.86228860603833e-254,4.61379345075602,0.379,0.017,7.18955139247158e-250,"12","RDM1"
0,16.0118993508915,0.394,0,0,"13","CCL14"
0,13.9001087447205,0.725,0,0,"13","ADGRL4"
0,13.1102715885622,0.321,0,0,"13","CA5A"
0,12.9224889938444,0.321,0,0,"13","MYCT1"
0,12.8599189965948,0.908,0.001,0,"13","VWF"
0,12.4401587928518,0.321,0,0,"13","CYYR1"
0,12.295893733776,0.688,0,0,"13","SPINK8"
0,12.0041338349702,0.991,0.011,0,"13","CLDN5"
0,11.8126536302157,0.697,0.001,0,"13","SRARP"
0,11.783436483217,0.56,0,0,"13","ADGRF5"
0,11.4806525888925,0.624,0.001,0,"13","ITIH5"
0,11.1202422471706,0.596,0.002,0,"13","TM4SF18"
0,10.9433140063344,0.477,0.001,0,"13","EMCN"
0,10.8594161279324,0.284,0,0,"13","SLC52A3"
0,10.8255243369184,0.761,0.002,0,"13","ECSCR"
0,10.4303498203711,0.596,0.001,0,"13","ROBO4"
0,10.3784318055408,0.844,0.003,0,"13","ESAM"
0,10.345619615733,0.587,0.001,0,"13","TMEM204"
0,10.2485068469593,0.725,0.001,0,"13","PCAT19"
0,10.2182149149513,0.688,0.005,0,"13","ABCG2"
0,15.0771155892947,0.618,0,0,"14","KRT1"
0,14.901240077161,0.49,0,0,"14","CLEC4OP"
0,14.8316554297616,0.804,0.004,0,"14","TPSAB1"
0,14.4908724800633,0.804,0.005,0,"14","TPSB2"
0,14.136730456779,0.716,0,0,"14","RHEX"
0,14.0010527609964,0.804,0.001,0,"14","CPA3"
0,13.4833383425834,0.794,0,0,"14","MS4A2"
0,13.4199892525525,0.578,0,0,"14","GRAP2"
0,13.1618299622781,0.598,0,0,"14","SLC18A2"
0,12.7500863449224,0.569,0,0,"14","HDC"
0,12.6869643107315,0.48,0,0,"14","IL1RL1"
0,12.4125208355072,0.569,0,0,"14","SIGLEC17P"
0,11.820250936947,0.755,0.001,0,"14","ENSG00000233968"
0,11.2784726018946,0.363,0,0,"14","HECW2-AS1"
0,11.2396908619345,0.373,0,0,"14","RGS13"
0,11.2289138958755,0.363,0,0,"14","SIGLEC6"
0,11.0558484297251,0.294,0,0,"14","MLPH"
